student_id,choice_1,choice_2,choice_3,choice_4,choice_5
student_001,Project_01,Project_02,Project_05,Project_08,Project_12
student_002,Project_02,Project_01,Project_03,Project_07,Project_11
student_003,Project_01,Project_03,Project_02,Project_09,Project_14
student_004,Project_03,Project_01,Project_04,Project_06,Project_10
student_005,Project_02,Project_04,Project_01,Project_08,Project_13
student_006,Project_01,Project_02,Project_06,Project_11,Project_15
student_007,Project_04,Project_01,Project_02,Project_07,Project_09
student_008,Project_02,Project_03,Project_01,Project_10,Project_16
student_009,Project_01,Project_04,Project_05,Project_12,Project_08
student_010,Project_03,Project_02,Project_04,Project_06,Project_11
student_011,Project_01,Project_02,Project_03,Project_14,Project_17
student_012,Project_02,Project_01,Project_06,Project_09,Project_13
student_013,Project_04,Project_03,Project_01,Project_07,Project_10
student_014,Project_01,Project_04,Project_02,Project_08,Project_15
student_015,Project_03,Project_01,Project_05,Project_11,Project_12
student_016,Project_02,Project_04,Project_03,Project_06,Project_09
student_017,Project_01,Project_02,Project_04,Project_10,Project_14
student_018,Project_04,Project_01,Project_03,Project_13,Project_16
student_019,Project_02,Project_03,Project_01,Project_07,Project_11
student_020,Project_01,Project_03,Project_06,Project_08,Project_12
student_021,Project_03,Project_02,Project_01,Project_09,Project_15
student_022,Project_02,Project_01,Project_04,Project_14,Project_10
student_023,Project_01,Project_04,Project_03,Project_06,Project_17
student_024,Project_04,Project_02,Project_05,Project_11,Project_08
student_025,Project_01,Project_03,Project_02,Project_07,Project_13
student_026,Project_03,Project_04,Project_01,Project_12,Project_09
student_027,Project_02,Project_01,Project_05,Project_10,Project_16
student_028,Project_01,Project_02,Project_04,Project_08,Project_11
student_029,Project_04,Project_03,Project_02,Project_06,Project_14
student_030,Project_02,Project_04,Project_01,Project_15,Project_07
student_031,Project_05,Project_06,Project_07,Project_09,Project_12
student_032,Project_06,Project_05,Project_08,Project_10,Project_13
student_033,Project_05,Project_07,Project_06,Project_11,Project_14
student_034,Project_07,Project_08,Project_05,Project_09,Project_15
student_035,Project_06,Project_05,Project_09,Project_12,Project_16
student_036,Project_08,Project_07,Project_06,Project_10,Project_11
student_037,Project_05,Project_06,Project_10,Project_13,Project_17
student_038,Project_09,Project_08,Project_07,Project_14,Project_12
student_039,Project_07,Project_09,Project_05,Project_11,Project_15
student_040,Project_10,Project_06,Project_08,Project_16,Project_13
student_041,Project_11,Project_12,Project_10,Project_14,Project_09
student_042,Project_12,Project_11,Project_13,Project_15,Project_10
student_043,Project_13,Project_14,Project_12,Project_16,Project_11
student_044,Project_14,Project_15,Project_13,Project_17,Project_12
student_045,Project_15,Project_16,Project_14,Project_10,Project_13
